time,plg_id,min,avg,max
2018-08-09,10110,1.0,3.0,9.0
2018-08-13,10110,1.0,3.0,9.0
2018-08-17,10110,1.0,3.0,9.0
2018-08-21,10110,1.0,3.0,9.0
2018-08-25,10110,1.0,3.0,9.0
2018-08-29,10110,1.0,3.0,9.0
2018-09-02,10110,1.0,3.0,9.0
2018-09-06,10110,1.0,3.0,9.0
2018-09-10,10110,1.0,3.0,9.0
2018-09-14,10110,1.0,3.0,9.0
2018-09-18,10110,1.0,3.0,9.0
2018-09-22,10110,1.0,3.0,9.0
2018-09-26,10110,1.0,3.0,9.0
2018-09-30,10110,1.0,3.0,9.0
2018-10-04,10110,1.0,3.0,9.0
2018-10-08,10110,1.0,4.0,9.0
2018-10-12,10110,1.0,4.0,9.0
2018-10-16,10110,1.0,5.0,9.0
2018-10-20,10110,1.0,5.0,9.0
2018-10-24,10110,1.0,5.0,9.0
2018-10-28,10110,1.0,4.0,9.0
2018-11-01,10110,1.0,4.0,9.0
2018-11-05,10110,1.0,4.0,9.0
2018-11-09,10110,1.0,4.0,9.0
2018-11-13,10110,1.0,4.0,9.0
2018-11-17,10110,1.0,4.0,9.0
2018-11-21,10110,1.0,4.0,9.0
2018-11-25,10110,1.0,4.0,9.0
2018-11-29,10110,1.0,4.0,9.0
2018-12-03,10110,1.0,4.0,9.0
2018-12-07,10110,1.0,4.0,9.0
2018-12-11,10110,1.0,4.0,9.0
2018-12-15,10110,1.0,3.0,9.0
2018-12-19,10110,1.0,4.0,9.0
2018-12-23,10110,1.0,3.0,9.0
2018-12-27,10110,1.0,3.0,9.0
2018-12-31,10110,1.0,4.0,9.0
2019-01-01,10150,,,
2019-01-05,10150,,,
2019-01-09,10150,,,
2019-01-13,10150,,,
2019-01-17,10150,,,
2019-01-21,10150,,,
2019-01-25,10150,,,
2019-01-29,10150,,,
2019-02-02,10150,,,
2019-02-06,10150,,,
2019-02-10,10150,,,
2019-02-14,10150,,,
2019-02-18,10150,,,
2019-02-22,10150,,,
2019-02-26,10150,,,
2019-03-02,10150,,,
2019-03-06,10150,,,
2019-03-10,10150,,,
2019-03-14,10150,,,
2019-03-18,10150,,,
2019-03-22,10150,,,
2019-03-26,10150,,,
2019-03-30,10150,,,
2019-04-03,10150,,,
2019-04-07,10150,,,
2019-04-11,10150,,,
2019-04-15,10150,,,
2019-04-19,10150,,,
2019-04-23,10150,,,
2019-04-27,10150,,,
2019-05-01,10150,,,
2019-05-05,10150,,,
2019-05-09,10150,,,
2019-05-13,10150,,,
2019-05-17,10150,,,
2019-05-21,10150,,,
2019-05-25,10150,,,
2019-05-29,10150,,,
2019-06-02,10150,,,
2019-06-06,10150,,,
2019-06-10,10150,,,
2019-06-14,10150,,,
2019-06-18,10150,,,
2019-06-22,10150,,,
2019-06-26,10150,,,
2019-06-30,10150,,,
2019-07-04,10150,,,
2019-07-08,10150,,,
2019-07-12,10150,,,
2019-07-16,10150,,,
2019-07-20,10150,,,
2019-07-24,10150,,,
2019-07-28,10150,,,
2019-08-01,10150,,,
2019-08-05,10150,,,
2019-08-09,10150,,,
2019-08-13,10150,,,
2019-08-17,10150,,,
2018-01-01,10150,,,
2018-01-05,10150,,,
2018-01-09,10150,,,
2018-01-13,10150,,,
2018-01-17,10150,,,
2018-01-21,10150,,,
2018-01-25,10150,,,
2018-01-29,10150,,,
2018-02-02,10150,,,
2018-02-06,10150,,,
2018-02-10,10150,,,
2018-02-14,10150,,,
2018-02-18,10150,,,
2018-02-22,10150,,,
2018-02-26,10150,,,
2018-03-02,10150,,,
2018-03-06,10150,,,
2018-03-10,10150,,,
2018-03-14,10150,,,
2018-03-18,10150,,,
2018-03-22,10150,,,
2018-03-26,10150,,,
2018-03-30,10150,,,
2018-04-03,10150,,,
2018-04-07,10150,,,
2018-04-11,10150,,,
2018-04-15,10150,,,
2018-04-19,10150,,,
2018-04-23,10150,,,
2018-04-27,10150,,,
2018-05-01,10150,,,
2018-05-05,10150,,,
2018-05-09,10150,,,
2018-05-13,10150,,,
2018-05-17,10150,,,
2018-05-21,10150,,,
2018-05-25,10150,,,
2018-05-29,10150,,,
2018-06-02,10150,,,
2018-06-06,10150,,,
2018-06-10,10150,,,
2018-06-14,10150,,,
2018-06-18,10150,,,
2018-06-22,10150,,,
2018-06-26,10150,,,
2018-06-30,10150,,,
2018-07-04,10150,,,
2018-07-08,10150,,,
2018-07-12,10150,,,
2018-07-16,10150,,,
2018-07-20,10150,,,
2018-07-24,10150,,,
2018-07-28,10150,,,
2018-08-01,10150,,,
2018-08-05,10150,,,
2018-08-09,10150,,,
2018-08-13,10150,,,
2018-08-17,10150,,,
2018-08-21,10150,,,
2018-08-25,10150,,,
2018-08-29,10150,,,
2018-09-02,10150,,,
2018-09-06,10150,,,
2018-09-10,10150,,,
2018-09-14,10150,,,
2018-09-18,10150,,,
2018-09-22,10150,,,
2018-09-26,10150,,,
2018-09-30,10150,,,
2018-10-04,10150,,,
2018-10-08,10150,,,
2018-10-12,10150,,,
2018-10-16,10150,,,
2018-10-20,10150,,,
2018-10-24,10150,,,
2018-10-28,10150,,,
2018-11-01,10150,,,
2018-11-05,10150,,,
2018-11-09,10150,,,
2018-11-13,10150,,,
2018-11-17,10150,,,
2018-11-21,10150,,,
2018-11-25,10150,,,
2018-11-29,10150,,,
2018-12-03,10150,,,
2018-12-07,10150,,,
2018-12-11,10150,,,
2018-12-15,10150,,,
2018-12-19,10150,,,
2018-12-23,10150,,,
2018-12-27,10150,,,
2018-12-31,10150,,,
2019-01-01,10200,,,
2019-01-05,10200,,,
2019-01-09,10200,,,
2019-01-13,10200,,,
2019-01-17,10200,,,
2019-01-21,10200,,,
2019-01-25,10200,,,
2019-01-29,10200,,,
2019-02-02,10200,,,
2019-02-06,10200,,,
2019-02-10,10200,,,
2019-02-14,10200,,,
2019-02-18,10200,,,
2019-02-22,10200,,,
2019-02-26,10200,,,
2019-03-02,10200,,,
2019-03-06,10200,,,
2019-03-10,10200,,,
2019-03-14,10200,,,
2019-03-18,10200,,,
2019-03-22,10200,,,
2019-03-26,10200,,,
2019-03-30,10200,,,
2019-04-03,10200,,,
2019-04-07,10200,,,
2019-04-11,10200,,,
2019-04-15,10200,,,
